record_id,period,artifact_kind,evidence_class,campaign_or_family,primary_path,related_paths,source_commit_or_timestamp,result_scope,comparability_warnings,deduplication_note,availability,primary_sha256,missing_local_paths
current_giro_k23_newphysics,2026-09-09 to 2026-09-10,new-physics plan and submission,audit,"GIRO constraints, nonlinear charging and k2/k3 diagnostic cases",/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_k23_newphysics/PLAN.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_k23_newphysics,43c84ad3f51a157bc21fdc383ef5eb46d902ebe3; array 650667,"Eight deterministic same-type shortest/longest k2/k3 cases; 15% floor, vehicle-specific energy, nonlinear remote charging, 60-kW depot, setup/minimum connected time and conservative one-minute port rows.","Plan explicitly withholds full-model LP/MIP certification when charger duals/labels are limited; no hard 65% terminal duty requirement is imposed. Treat any package without final JSON as a plan, not a result.","Four chains with two scales are diagnostic extremes, not eight random samples.",local plan + remote execution,73fac2ce728f302ba57688b5c8694132a1359c0ac3a4523c608cb3c51abb1d33,
current_giro_source_capacity,2026-09-09,source-document audit,audit,"GIRO email attachments, station capacity and SOC interpretation",/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/GIRO_EMAIL_ATTACHMENT_AUDIT.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/GIRO_EMAIL_CONFIRMED_ASSUMPTIONS.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/GIRO_FULL_FLEET_CAPACITY_AUDIT.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/GIRO_SOC_CAPACITY_CALIBRATION.json; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/giro_email_sources,audit prepared 2026-09-09; source attachment hashes embedded in report,"Documents 15% minimum SOC, 65% recharge target (not hard terminal duty floor), 60-kW PARX depot, SOC-dependent opportunity charging, documented charger counts, blocking/FIFO and other operational restrictions.","Current 240/240 constant-power experiments approximate only one vehicle group; master currently omits shared station-time rows, blocking and crew constraints. Original source charging interval occupancy is auditable but within-window power traces are absent.","Email attachment renders, JSON, MD and source files are one source-audit bundle.",local,783c8117225255803e58fe43be0e825df654b10f37cc48f77172a9e114007ad9,
current_april_replay_and_cover_controls,2026-09-08 to 2026-09-10,matched replay/control plan,matched replay,Historical 175-trip source replay and cover-versus-partition controls,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/april_source_replay/README.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/historical_cover_controls/README.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/historical_matched_regression_plan.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/historical_matched_regression_plan.json,candidate source 14364901ec74c85df90c8ac0b3d635f7e0547776; cover controls Slurm array 651623,Behavior-matching April replay preserves old DP/covering settings; cover-vs-partition plan fixes four arms (300/300 and 240/240). The report identifies current full-cache 10-route witnesses separately.,"Replay is a reconstructed source, not bitwise historical identity; cover and partition change feasible set semantics. Remote output may be incomplete at inventory time.","Replay, controls and plan JSON are one regression study, not independent trials.",local plan + remote execution,ad28ef018cba83c955e02789e3aaf2e53cedc22d39df1bc508f08f89b52ec34b,
current_terminal_energy,2026-09-10,matched pilot plan/results package,matched replay,Equal terminal-energy charging comparison,/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/terminal_energy/README.md,/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/terminal_energy/plan.json; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/terminal_energy/local_peak12_frontier_smoke_summary.json,2424369f4b5c40198a22698b7a460d6aa8129169; arrays 778801/778802,"62-trip, five-duty cohort; common aggregate terminal minimum 280.7833253 kWh; fixed-duty frontier and joint pool pilot with equal terminal-energy condition.",Local peak12 fixed-duty smoke is complete; joint remote outputs may still be pending. Fixed result is exact only over enumerated event frontiers; joint old pool lacked terminal-energy dual and is not a full-model certificate.,"Plan, smoke and remote array form one pilot; do not count the fixed smoke and joint job as separate datasets.",local smoke + remote execution,2793c3726102310f7ead4acc7d53bc9d19ea3586b3be12f5f1f6c985fd687eae,
current_capacity_speed,2026-09-10,implementation audit and launch package,audit,Capacity-aware/depot-speed pilot,/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/capacity_speed/IMPLEMENTATION_REPORT.md,/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/capacity_speed/TWO_STAGE_CORRECTION.md; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/capacity_speed/LAUNCH_STATUS.md; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/capacity_speed/TEST_RESULTS.txt,execution 7d38efdd39857438c4a6e30b43b09e973ce51086; corrected MIP wrapper 9bf3f752a5d2786bf5a1e9c613ff6440415569a9; arrays 772080/773334,"Corrected two-stage implementation and launch package: CG on default partition, dependent MIP on Scaglione, one completed legacy weighted control retained.","At inventory cutoff this is primarily implementation/launch evidence; rows must be promoted only when final result JSON, physical checks and MIP proof scope are available.","First staging root and canceled weighted array are recorded as superseded controls, not new scientific campaigns.",local implementation + remote execution,22e76e8887c8fe8cb82ab31826eeb841718943943e1136082c20dc366ff4c550,
current_mip_recovery,2026-09-10,solver recovery audit/result,audit,Saved-start/license and warm k10 recovery,/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/license_and_mip_recovery/STATUS.md,/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/license_and_mip_recovery/publication_recovery_772009.json; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/license_and_mip_recovery/warm_k10_job772009_validated.json,871d057e1067411f09581e37d78f7c1ca43f68bb; authoritative job 772009; duplicate 772031 excluded,"Audits two independent saved-start failures, validates route-block preservation, and recovers k10 Stage1 fleet10/bound10; Stage2 conditional cost TIME_LIMIT with 14.3934% gap and all selected routes physically replayed.","Scheduler publication FAILED because a duplicate job occupied the shared path; scientific result was recovered from the per-job artifact. Generic added_giro field refers to a fresh solver covering start, not original GIRO routes.","Failure/retry artifacts are one recovery incident, not independent MIP experiments.",local,649e1d20db206ff465e8f91ef8d6ef6f4f2aefcfce2b75d64aea7eed57252287,
current_research_state_snapshots,2026-09-06 to 2026-09-09,manager snapshot/reports,audit,Dated research-state snapshots and phase-1 interim artifacts,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/RESEARCH_STATE_20260909_1124.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/RESEARCH_STATE_20260909_MORNING.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/CURRENT_STATE.md; /Users/nadan/Documents/projects/demandresponse/outputs/research_state_20260908/RESEARCH_MANAGER_UPDATE.md; /Users/nadan/Documents/projects/demandresponse/outputs/research_state_20260908/provenance.json; /Users/nadan/Documents/projects/demandresponse/outputs/phase1_interim_20260906/threshold_9_15_interim_20260906.xlsx; /Users/nadan/Documents/projects/demandresponse/outputs/phase1_interim_20260907/threshold_9_15_interim_20260907.xlsx; /Users/nadan/Documents/projects/demandresponse/outputs/manager_review_20260907/MANAGER_ASSESSMENT.md,snapshots dated 2026-09-06 to 2026-09-09; source hashes embedded in each report,"Derived state summaries of 70-pool, nested-chain, tariff, greedy and replication campaigns; interim notebooks/XLSX organize but do not replace raw result JSON/logs.",Not primary solver evidence; later snapshots supersede earlier denominator/progress counts. Use their cited source paths and scope labels before quoting numbers.,"Morning/1124 reports and interim workbooks are snapshots of overlapping work, not separate campaigns.",local,d6021727e63f69fbcb3477008b06e021e629aa841380b50cdb0743582f968864,
figure_discrepancy,2026-08 to 2026-09,figure-source/audit report,figure-only/unreliable,Historical/event comparison figure provenance correction,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/FIGURE_DISCREPANCY_AUDIT.md,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/FIGURE_SOURCE_REPORT_2683c775.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/FIGURE_SOURCE_PANEL_A_2683c775.csv; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/comments_and_slides,figure-source commit 2683c775c2ba29018404c5f41ca2aff3266b5739,"Explains the manually assembled nine-cell figure and why it mixed historical 300/300, current 240/240, I_model, finite-pool and timed-incumbent values.","No saved plotting script or authoritative consolidated dataset existed for the original image; it must not be reused as research evidence. The CSV/source report is a corrected provenance aid, not a new solver run.",All PNG/PDF/Slides exports of the image are one figure artifact.,local,7f2916b2ce92f3b82da93a67f394209446384d404ca0034be318d45ff63001fa,
legacy_comparison_figures,2026-04 to 2026-05,PNG/PDF figure exports,figure-only/unreliable,Legacy algorithm/charging comparison figures,/Users/nadan/Documents/projects/demandresponse/data/aggregate_algorithm_comparison.png,/Users/nadan/Documents/projects/demandresponse/data/algorithm_comparison.png; /Users/nadan/Documents/projects/demandresponse/data/algorithm_comparison_RND001.png; /Users/nadan/Documents/projects/demandresponse/data/algorithm_comparison_RND002.png; /Users/nadan/Documents/projects/demandresponse/data/algorithm_comparison_RND003.png; /Users/nadan/Documents/projects/demandresponse/data/algorithm_comparison_RND004.png; /Users/nadan/Documents/projects/demandresponse/data/algorithm_comparison_RND005.png; /Users/nadan/Documents/projects/demandresponse/data/algorithm_comparison_RND006.png; /Users/nadan/Documents/projects/demandresponse/data/cheat_algorithm_comparison.png,file timestamps only; exact plotting commit/source CSV not bound in the images,Visual comparisons retained for historical orientation only.,"No authoritative machine-readable binding to input hash, parameter set, proof scope or route pool; use RND002 audit and raw logs instead.","Nine image exports/variants are one figure family, not nine experiments.",local,40b63fe2fdbb96d99cfeb8186db788ab9663c721de33fb9a2744eadac8063fbf,
legacy_root_plots,2026-04 to 2026-08,PNG/PDF figure exports,figure-only/unreliable,"Legacy convergence, Gantt and bottleneck plots",/Users/nadan/Documents/projects/demandresponse/src/evsp_k_convergence.png,/Users/nadan/Documents/projects/demandresponse/src/evsp_bottleneck_shift.png; /Users/nadan/Documents/projects/demandresponse/src/G300_10Bus_Gantt_Clean.pdf; /Users/nadan/Documents/projects/demandresponse/src/10bus_convergence.pdf; /Users/nadan/Documents/projects/demandresponse/src/15bus_convergence.pdf; /Users/nadan/Documents/projects/demandresponse/src/20bus_convergence.pdf; /Users/nadan/Documents/projects/demandresponse/src/30bus_convergence_zoom.pdf; /Users/nadan/Documents/projects/demandresponse/src/43bus_convergence_zoom.pdf,file names/timestamps; source code and exact run binding vary,"Legacy visualizations of convergence, Gantt schedules and time breakdowns.","Plots may combine different grids, tariffs, instances and stopping rules; figures cannot establish integer or route-space optimality without raw source binding.",All root-level plot exports are one legacy visualization archive.,local,841fe3fe4c6a39011a0256d5ef734a668068ad5cdd5054e9a1e24f82596da043,
meeting_and_handoff_docs,2026-09-07 to 2026-09-10,derived brief/handoff documents,audit,"Independent-review, manager and meeting documentation",/Users/nadan/Documents/projects/demandresponse/outputs/independent_review_20260907/EVSP_DR_INDEPENDENT_REVIEW_HANDOFF_20260907.md,/Users/nadan/Documents/projects/demandresponse/outputs/manager_review_20260907/MANAGER_ASSESSMENT.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/MEETING_BRIEF.md; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/GOOGLE_DOC_SAVED_20260909.md; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/README.md; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/STOCHASTIC_REVIEW_HANDOFF.md,document timestamps 2026-09-07 to 2026-09-10; source hashes/cutoffs are stated inside individual docs,"Human-facing summaries, working briefs and handoff notes that point to raw artifacts and current audits.",Derived narrative is not primary evidence and may contain superseded interpretations; quote the linked source row instead of treating prose as a run.,"Briefs and handoffs are overlapping documentation views, not experiments.",local,a44a07de62985174b89137cf800f56f32b797a5a0ccf2b6a4a6fa9ebdb386b23,
monitor_snapshot_family,2026-09-08 to 2026-09-10,queue/monitor snapshots,audit,Cluster monitoring and scheduler evidence,/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/cluster_snapshot_verified.json,/Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/cluster_snapshot.json; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/cluster_snapshot_final.json; /Users/nadan/Documents/projects/demandresponse/outputs/post_meeting_20260910/resource_check_20260910.json; /Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260910/snapshots,snapshot timestamps 2026-09-08 to 2026-09-10,"Scheduler state, resource policy, dependencies and job completion/censoring observations.","Queue snapshots are operational evidence, not research outcomes; state changes over time and should not be used as a resource benchmark.",All monitor snapshots are one time-varying scheduler record.,local,c0ea5871904db7f3334bd531f3ee593599871b8ed54bd8fa88a475219aef487b,
unclassified_local_leftovers,through 2026-09-10,unclassified raw/derived leftovers,audit,Inventory boundary leftovers requiring future curation,/Users/nadan/Documents/projects/demandresponse/src/results,/Users/nadan/Documents/projects/demandresponse/outputs; /Users/nadan/Documents/projects/demandresponse/data,inventory generated 2026-09-10; no claim of complete Git/object enumeration,"Includes empty checkpoint/retry directories, trace-only files, copied remote artifacts, untracked datasets and additional notebooks/plots outside the selected logical families.","This row is deliberately not a scientific result. Several analysis paths cited by reports (notably analysis/scale_ladder, analysis/event_uniform_envelope, analysis/research_control_tower and legacy_exact) are not retained locally.",Empty retries and derivative exports were not counted as independent experiments; future curation should promote only hash-bound result artifacts.,partially classified,,
